baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
mmu-miR-182-5p	11534.8293567792	4.13523322338502	0.36615138284783	11.2937801606053	1.40846010058949e-29	1.69719442121034e-26
mmu-miR-200b-3p	581.129788977618	3.31480751828781	0.3097899044947	10.7001792834231	1.01581484612574e-26	6.12028444790756e-24
mmu-miR-183-5p	1303.83610098432	4.12086084778935	0.388763157574294	10.5999263754869	2.98214901082728e-26	1.19782985268229e-23
mmu-miR-200a-3p	770.647844188361	3.95813191585848	0.382333889928298	10.3525531482464	4.07472067816674e-25	1.22750960429773e-22
mmu-miR-429-3p	1011.95341719648	3.44755915077527	0.357513144880925	9.6431675314303	5.2541178273863e-22	1.2662423964001e-19
mmu-miR-200c-3p	48.0823512237416	3.8129029834415	0.47826348472537	7.97238991730878	1.55634850247493e-15	3.12566657580381e-13
mmu-miR-96-5p	43.6085847538328	4.22920402967821	0.635390800626501	6.65606745566378	2.81251210633817e-11	4.84153869733927e-09
mmu-miR-200a-5p	26.7796752619407	3.41828711546874	0.576948221631734	5.92477277389136	3.12729506695275e-09	4.71048819459757e-07
mmu-miR-141-3p	519.115380097048	4.50616040911646	0.793860897994427	5.67625943096657	1.37671937461271e-08	1.84327427378701e-06
mmu-miR-7a-5p	416.625317623302	1.12573640160596	0.249587453567628	4.51038858530176	6.47089807786613e-06	0.000779743218382869
mmu-miR-183-3p	10.7773462841833	3.71308387607845	0.914717422024029	4.05926878255185	4.92266246156651e-05	0.0053925529692615
mmu-miR-141-5p	6.83615826338876	4.90937968528221	1.34318491617768	3.65502889896419	0.000257153009568771	0.0258224480441975
mmu-miR-200b-5p	7.70769725369117	3.22803154834288	0.943812429041451	3.42020453324747	0.000625740693037273	0.0560167310015037
mmu-miR-7b-5p	98.2126173583199	1.01187397962492	0.296780608201401	3.40950167114101	0.000650816791718716	0.0560167310015037
mmu-miR-653-5p	27.467979818351	1.13244981745689	0.431356111728735	2.62532461385187	0.00865663935357011	0.695416694736799
mmu-miR-671-5p	98.3459559966087	-0.580944637637883	0.245455014704079	-2.36680696191223	0.0179422884589981	0.995672620864704
mmu-miR-3084-5p	14.8058426487139	-1.31592814396893	0.61536394592857	-2.13845506009167	0.0324798278026597	0.995672620864704
mmu-let-7a-2-3p	17.3554189467522	-1.01571836366256	0.507360541057147	-2.00196562694092	0.045288428498401	0.995672620864704
mmu-miR-466m-5p	1.85198078796239	-4.65529355890476	2.47010820507953	-1.88465167207316	0.0594768811328304	0.995672620864704
mmu-miR-669m-5p	1.85198078796239	-4.65529355890476	2.47010820507953	-1.88465167207316	0.0594768811328304	0.995672620864704
mmu-miR-669a-3-3p	1.5754704731961	-3.26915627242918	1.77430571404991	-1.84249886958162	0.0654022117206637	0.995672620864704
mmu-miR-6953-3p	9.79645346225804	-1.22032807520547	0.668052974071057	-1.82669357456624	0.0677458549013396	0.995672620864704
mmu-miR-6990-5p	2.50055454321788	2.37771256919197	1.43247882543152	1.65985878951873	0.0969428635621167	0.995672620864704
mmu-miR-455-5p	53.6366005717178	0.516413529592915	0.311609068010403	1.65724807974996	0.0974693295884994	0.995672620864704
mmu-miR-466b-3p	180.110519909252	-0.547017463245134	0.331463290484637	-1.6503108457209	0.0988793751413703	0.995672620864704
mmu-miR-466c-3p	180.110519909252	-0.547017463245134	0.331463290484637	-1.6503108457209	0.0988793751413703	0.995672620864704
mmu-miR-466p-3p	180.110519909252	-0.547017463245134	0.331463290484637	-1.6503108457209	0.0988793751413703	0.995672620864704
mmu-miR-466a-3p	170.748896142337	-0.530716524116034	0.327526687900505	-1.6203764264769	0.105151440579451	0.995672620864704
mmu-miR-466e-3p	170.748896142337	-0.530716524116034	0.327526687900505	-1.6203764264769	0.105151440579451	0.995672620864704
mmu-miR-1843b-3p	186.583669078448	-0.315998617084232	0.198585973346561	-1.59124338823654	0.111554811804521	0.995672620864704
mmu-miR-298-5p	1943.81671436928	0.331446695793297	0.210370475078867	1.57553808664947	0.115132294368623	0.995672620864704
mmu-miR-130a-3p	1665.71321848304	0.313977584035224	0.1995735770666	1.57324225305861	0.115662735002391	0.995672620864704
mmu-miR-539-5p	25.1950846172075	0.645571870392771	0.411747416035272	1.56788323436004	0.116908385169444	0.995672620864704
