SRR5144100_1	SRR5144101_1	SRR5144102_1	SRR5144103_1	SRR5144104_1	SRR5144105_1	SRR5144106_1	SRR5144107_1	SRR5144108_1	SRR5144109_1	SRR5144110_1	SRR5144111_1	SRR5144112_1	SRR5144113_1	SRR5144115_1	SRR5144116_1	SRR5144117_1	SRR5144118_1	SRR5144119_1	SRR5144120_1	SRR5144121_1	SRR5144122_1	SRR5144123_1	SRR5144124_1
ENSMUSG00000000001	1616	1171	1829	2156	1185	2064	888	953	1457	1538	894	1183	1676	1009	1124	1098	1251	1076	2011	2360	2021	3326	3398	2449
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	115	106	125	151	80	88	46	41	73	74	41	46	58	51	43	53	61	38	60	59	48	99	98	52
ENSMUSG00000000037	13.6	3	12.381	26.001	11.466	14.815	14	23.415	21	38	26.078	31.258	18.389	19.785	22.785	22	13	23	31.166	43.119	45.116	67.327	64.153	65.366
ENSMUSG00000000049	7	9	8	6	4	6	7	7	7	13	6	14	11	7	8	14	6	8	12	6	5	13	23	3
ENSMUSG00000000056	2523	3008	3230	4079.001	2913	3607.001	1049	1582	2092.001	2168	1397.999	1754	1915	1589.001	1323.999	1417	1826	1391	1311	1444	1279	2269	2422	1704
ENSMUSG00000000058	469	410	561	529	337.999	520.001	938	1207.999	1880	1682	1063	1191.999	1016.001	835	941	613	907	788	766	998.999	826	1421	1391.001	979
ENSMUSG00000000078	840.882	781.323	1026.662	1242.578	851.123	1394.853	1206.557	1877.453	2052.052	1808.669	1237.496	1616.153	1144.163	936.146	849.622	620.83	1035.484	700.611	625.809	763.056	668.134	1363.686	1270.453	989.879
ENSMUSG00000000085	1424	1918.999	1953.999	2095	1483.001	1824	907	1493	1537.001	1652.001	1243.998	1351	1599.999	1388.001	1080.001	1147	1561.999	1133.002	1545.001	2067.001	1455.001	2490.001	3185	2351.001
ENSMUSG00000000088	3371.697	3319.809	4029.475	5063.382	2793.995	3602.251	2554.864	2663.238	4506.825	4049.198	2527.788	3102.495	3464.544	2660.295	2289.76	2407.552	2729.543	2388.169	2939.4	3525.775	2749.42	4374.26	5012.377	3604.503
ENSMUSG00000000093	60	105	92	81	71	64	32	73	74	61	48	43	81	85	66	63	59	45	74	112	95	125	162	101
ENSMUSG00000000094	4	6	4	6	3	2	0	7	8	4	3	1	11	5	7	14	7	4	3	9	12	4	5	10
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	112	115	106	131	93	143	123	112	146	119	70	118	68	29	45	35	52	20	90	90	81	148	167	89
ENSMUSG00000000125	494	670	634	683	507	623	34	44	125	78	38	57	75	37	66	53	90	48	53	60	64	91	97	75
ENSMUSG00000000126	45	51	51	43	32	37	316	470	692	751	386	416	186	201	165	129	119	81	55	86	78	159	148	86
ENSMUSG00000000127	430.904	303.461	473.356	622.476	285.774	576.697	323.788	322.771	503.526	596.018	276.844	409.803	521.606	215.693	351.206	361.278	303.062	402.289	306.167	257.552	308.068	658.13	429.364	551.949
ENSMUSG00000000131	3022.002	3534.999	4017.999	4947.002	2907.001	3962.001	1960.999	2909.999	3370	3655.999	2290.002	2786	3562.999	2495	2248.999	2444.001	2931.999	2259.999	2490	2664.998	2385.001	3857.999	3618	3127.003
ENSMUSG00000000134	1325	1805	1546.001	1872	1559	1861.001	857.001	1327.999	1341.999	1621	969.999	1195	1273.001	1239	849	919.001	1240	840	1168.999	1680	1087.999	2211.001	2574.999	1867.998
ENSMUSG00000000142	697	817	738.999	917	702	809.001	474.001	769.001	827.999	962	630.001	715	792.999	651.999	544.999	593.999	919.999	512	651	945	621	1073	1345.001	872.001
ENSMUSG00000000148	740.001	1004.999	1004	1044.999	832	906	367.001	721	733	773	564	594.001	758	663.001	512.999	531	803.999	519	525	837.999	557	878	1120	759
ENSMUSG00000000149	3192	2554.864	3218	3954	2383.863	3663	2289	2033	3635	4063	1584.514	2354.082	4233	2073	2318	3181	3074	2444	1920.958	2100.61	1800	3636	3156.519	2148.347
ENSMUSG00000000154	16	7	12	19	14	20	13	14	13	15	12	18	17	3	13	7	19	2	7	18	21	17	14	9
ENSMUSG00000000157	0	0	0	0	0	1	0	2	0	0	1	1	1	0	2	0	0	0	0	3	1	3	0	3
ENSMUSG00000000159	17	28.425	12	15	36.828	9	4	8.455	16	8.404	10.212	7	20	13.891	17	2	11.223	8	5	8.263	17	19	14	10.115
ENSMUSG00000000167	32	30	26.999	36	34	32	24	64.001	34	42	49	44	48	34	51	37.999	29	29	18	25	29	46	50	32
ENSMUSG00000000168	3621	3431	4215	4501	2584	4014	2379	2717.001	4298	3814	2117	3022.999	4977	3352	3153.999	2992.001	3579	2924	2811	3179	2644.001	4094	4309.001	3098.999
ENSMUSG00000000171	2937	2828	3528	4167	2220	3140	1989	1985	3280	3126	1434	2090	2980	1937	1979	1857	2136	1868	1950	2270	1896	3147	2919	2183
ENSMUSG00000000182	19	21	18	23	7	10	8	24	7	0	7	2	4	11	7	3	2	2	3	14	11	1	10	6
ENSMUSG00000000183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	1
ENSMUSG00000000184	378.54	220.849	182.655	300.507	265.245	350.949	1734.753	1776.952	2394.276	3768.928	1675.977	2794.757	3350.041	1563.05	1919.974	3034.453	2529.454	2632.134	1092.317	852.066	1086.642	2821.636	1641.945	1133.073
ENSMUSG00000000194	2527.827	2384.492	2622.948	3323.958	2250.145	2992.617	1518	1852	2305.994	2562.001	1568.999	2006	2539.007	1691	1432.447	1616	1971.67	1508.008	1819.207	1882.001	1737.846	2889.039	2924.999	2371.996
ENSMUSG00000000197	3415.492	2566.868	4164.415	5395.267	2324.779	4386.755	3028.012	3487.565	5550.215	5300.379	2840.086	4050.727	4722.023	2293.652	3263.009	2919.522	2412.99	3035.18	3436.552	2386.9	3182.167	6204.367	3584.669	4197.55
ENSMUSG00000000202	903	864.001	984.001	1056	584.999	805	335.999	294.999	416.999	564	212.999	296.002	363	223.001	201	266	267	166	385.999	425.999	359.001	604	637	377
ENSMUSG00000000204	1	0	1.598	5	4	1.624	0	0	0	0	2	1	0	4	0	2	0	2	0	13	0	6	6	10
ENSMUSG00000000214	185	163	206	343	213	207	247	158	231	121	67	53	11	15	10	2	13	2	4722	5927	4206	7175	8493	5652
ENSMUSG00000000215	4	1	0	0	4	0	0	0	1	0	0	1	4	0	13	0	1	0	0	0	0	0	1	0
ENSMUSG00000000216	102	107	146	166	100	102	7	9	2	8	3	5	11	4	5	7	18	9	0	2	1	2	3	1
ENSMUSG00000000223	1191	1228	1235	1773	1086.999	1511	2015	3474	3380	4012	3017.999	3297.001	3338.001	2122	1963.001	2300	2446.999	2329	2813	2824	2780	4982.999	4708	4484
ENSMUSG00000000244	1	0	0	1	1	1	3	2	4	6	2.93	7	5	4	4	3	3	6	3	3	2.363	9	7	0
ENSMUSG00000000247	51.999	7	6	53.999	2	0	1158.001	1145.001	1623	1952	1028.999	1425.001	2103.001	1427.999	1309	1536.001	1721	1323	569	788	587	907.001	951	832
ENSMUSG00000000248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.996	0	4	18	8	10	12	11
ENSMUSG00000000253	752.187	625.429	791.945	1004.447	558.205	784.616	650.35	1021.421	1287.366	1468.217	791.401	1032.726	1936.541	1457.728	1103.246	1314.233	1547.337	1150.596	436.141	579.192	431.275	863.297	776.017	618.102
ENSMUSG00000000263	96	5	28	82	9	17	39	4	24	20	7	17	3	0	1	1	2	3	23	0	23	37	3	41
