chr	start	stop	strand	SRR5720118	SRR5720119	SRR5720120	SRR5720121	SRR5720122	SRR5720123	SRR5720124	SRR5720125	SRR5720126	SRR5720127	SRR5720128	SRR5720129	SRR5720130	SRR5720131	SRR5720132	SRR5720133	SRR5720134	SRR5720135	SRR5720136	SRR5720137	SRR5720138	SRR5720139	SRR5720140	SRR5720141
chr1	4776801	4777524	-	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr1	4782567	4784105	-	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr1	4828583	4841132	+	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
chr1	5084416	5098133	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
chr1	5089008	5098133	+	0	4	3	4	0	4	0	0	3	0	0	0	5	2	2	0	1	0	1	0	0	0	2	0
chr1	5089008	5101123	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	1
chr1	5089008	5117487	+	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	11	0	0	0	0	0	0	0	0
chr1	5089008	5124469	+	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	1
chr1	5089008	5135937	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
chr1	5089008	5150061	+	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
chr1	5093362	5133262	+	0	0	0	0	3	4	0	0	1	0	1	0	3	7	6	0	2	3	2	0	1	6	4	0
chr1	5095614	5117487	+	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chr1	5095614	5124469	+	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
chr1	5095614	5135937	+	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
chr1	5095614	5150061	+	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0
chr1	5117389	5124469	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chr1	5117389	5150061	+	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
chr1	5133083	5150061	+	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	6227939	6230073	+	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
chr1	6227939	6234399	+	0	0	2	0	2	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
chr1	6227939	6250167	+	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	6229958	6234399	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chr1	6244794	6261095	+	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr1	6245424	6247809	+	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
chr1	6248275	6265621	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
chr1	6260929	6272771	+	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	6752295	6795576	+	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr1	6752295	6803105	+	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr1	6768952	6770845	+	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
chr1	6795385	6803105	+	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
